Date : 2026-08-13 20:04:09
Directory : /Users/zerone/Documents/Coding/projectProp/apps
Total : 441 files,  34789 codes, 6733 comments, 5980 blanks, all 47502 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| backend/prisma/migrations/20260510110537_add_wa_auth_state                                                                                           |          1 |          6 |          1 |          2 |          9 |
| backend/prisma/migrations/20260512153233_add_google_auth                                                                                             |          1 |          3 |          8 |          2 |         13 |
| backend/prisma/migrations/20260512170720_add_plan_selected                                                                                           |          1 |          1 |          1 |          1 |          3 |
| backend/prisma/migrations/20260513041225_add_media_storage_system                                                                                    |          1 |         47 |         30 |         20 |         97 |
| backend/prisma/migrations/20260516150715_add_collections_and_shortlists                                                                              |          1 |         50 |         17 |         21 |         88 |
| backend/prisma/migrations/20260614_add_phone_unique                                                                                                  |          1 |          1 |          0 |          1 |          2 |
| backend/prisma/migrations/20260615144423_add_private_group_request                                                                                   |          1 |         19 |          7 |          8 |         34 |
| backend/prisma/migrations/20260615150945_add_claim_expires                                                                                           |          1 |          1 |          1 |          1 |          3 |
| backend/prisma/migrations/20260703174950_add_workspace_last_active                                                                                   |          1 |          1 |          1 |          1 |          3 |
| backend/scripts                                                                                                                                      |          2 |         49 |          9 |         16 |         74 |
| backend/src                                                                                                                                          |        116 |      9,792 |      1,143 |      1,774 |     12,709 |
| backend/src (Files)                                                                                                                                  |          5 |        147 |         49 |         45 |        241 |
| backend/src/ai                                                                                                                                       |          4 |        399 |        294 |        150 |        843 |
| backend/src/ai/property-parser                                                                                                                       |          4 |        399 |        294 |        150 |        843 |
| backend/src/ai/property-parser/ai-parser                                                                                                             |          4 |        399 |        294 |        150 |        843 |
| backend/src/auth                                                                                                                                     |         13 |        919 |         83 |        150 |      1,152 |
| backend/src/auth (Files)                                                                                                                             |          5 |        662 |         42 |        108 |        812 |
| backend/src/auth/decorators                                                                                                                          |          2 |         15 |         21 |          3 |         39 |
| backend/src/auth/dto                                                                                                                                 |          1 |         58 |          0 |          9 |         67 |
| backend/src/auth/guards                                                                                                                              |          1 |         50 |         17 |         13 |         80 |
| backend/src/auth/helpers                                                                                                                             |          1 |         12 |          0 |          2 |         14 |
| backend/src/auth/strategies                                                                                                                          |          3 |        122 |          3 |         15 |        140 |
| backend/src/common                                                                                                                                   |          1 |         41 |          1 |         11 |         53 |
| backend/src/common/utils                                                                                                                             |          1 |         41 |          1 |         11 |         53 |
| backend/src/core                                                                                                                                     |          5 |         93 |          1 |         14 |        108 |
| backend/src/core/email                                                                                                                               |          2 |         61 |          0 |          4 |         65 |
| backend/src/core/prisma                                                                                                                              |          3 |         32 |          1 |         10 |         43 |
| backend/src/ingestion                                                                                                                                |          3 |        134 |          3 |         19 |        156 |
| backend/src/ingestion/whatsapp                                                                                                                       |          3 |        134 |          3 |         19 |        156 |
| backend/src/middleware                                                                                                                               |          1 |         28 |          0 |          2 |         30 |
| backend/src/modules                                                                                                                                  |         83 |      8,014 |        708 |      1,378 |     10,100 |
| backend/src/modules (Files)                                                                                                                          |          1 |         10 |          6 |          7 |         23 |
| backend/src/modules/admin                                                                                                                            |          9 |      1,268 |         64 |        154 |      1,486 |
| backend/src/modules/agents                                                                                                                           |          3 |        353 |         46 |         66 |        465 |
| backend/src/modules/billing                                                                                                                          |          6 |        352 |         27 |         66 |        445 |
| backend/src/modules/clients                                                                                                                          |          5 |        670 |         65 |        145 |        880 |
| backend/src/modules/collections                                                                                                                      |          3 |        173 |          1 |         24 |        198 |
| backend/src/modules/dashboard                                                                                                                        |          2 |         81 |          9 |         17 |        107 |
| backend/src/modules/deals                                                                                                                            |          2 |        348 |         19 |         34 |        401 |
| backend/src/modules/dedup                                                                                                                            |          2 |        197 |         34 |         42 |        273 |
| backend/src/modules/ingestion                                                                                                                        |          5 |        703 |         44 |        132 |        879 |
| backend/src/modules/listings                                                                                                                         |          5 |        567 |         70 |         92 |        729 |
| backend/src/modules/media                                                                                                                            |          4 |        432 |         45 |         82 |        559 |
| backend/src/modules/messages                                                                                                                         |          5 |        202 |          3 |         35 |        240 |
| backend/src/modules/onboarding                                                                                                                       |          3 |        239 |         25 |         45 |        309 |
| backend/src/modules/private-groups                                                                                                                   |          3 |        135 |         11 |         21 |        167 |
| backend/src/modules/properties                                                                                                                       |         12 |      1,229 |        120 |        253 |      1,602 |
| backend/src/modules/properties (Files)                                                                                                               |          6 |      1,095 |        115 |        212 |      1,422 |
| backend/src/modules/properties/dto                                                                                                                   |          6 |        134 |          5 |         41 |        180 |
| backend/src/modules/public                                                                                                                           |          3 |        160 |         18 |         21 |        199 |
| backend/src/modules/settings                                                                                                                         |          3 |        134 |          0 |         18 |        152 |
| backend/src/modules/shortlists                                                                                                                       |          3 |        195 |          2 |         26 |        223 |
| backend/src/modules/team                                                                                                                             |          4 |        566 |         99 |         98 |        763 |
| backend/src/scripts                                                                                                                                  |          1 |         17 |          4 |          5 |         26 |
| backend/test                                                                                                                                         |          2 |         30 |          0 |          6 |         36 |
| dashboard                                                                                                                                            |        242 |     22,957 |      4,757 |      3,444 |     31,158 |
| dashboard (Files)                                                                                                                                    |         10 |        213 |         17 |         39 |        269 |
| dashboard/public                                                                                                                                     |          7 |         38 |          1 |          2 |         41 |
| dashboard/src                                                                                                                                        |        224 |     22,705 |      4,739 |      3,403 |     30,847 |
| dashboard/src (Files)                                                                                                                                |          1 |         54 |          1 |          9 |         64 |
| dashboard/src/app                                                                                                                                    |        121 |     13,298 |      3,030 |      1,822 |     18,150 |
| dashboard/src/app (Files)                                                                                                                            |          6 |        959 |         96 |         48 |      1,103 |
| dashboard/src/app/(auth)                                                                                                                             |          2 |        479 |        273 |         66 |        818 |
| dashboard/src/app/(auth)/login                                                                                                                       |          1 |        155 |          6 |         24 |        185 |
| dashboard/src/app/(auth)/register                                                                                                                    |          1 |        324 |        267 |         42 |        633 |
| dashboard/src/app/(dashboard)                                                                                                                        |          1 |         56 |          0 |          6 |         62 |
| dashboard/src/app/(dashboard)/admin                                                                                                                  |          1 |         56 |          0 |          6 |         62 |
| dashboard/src/app/(dashboard)/admin/ingestion                                                                                                        |          1 |         56 |          0 |          6 |         62 |
| dashboard/src/app/api                                                                                                                                |         50 |        544 |         19 |        117 |        680 |
| dashboard/src/app/api (Files)                                                                                                                        |          1 |         23 |          0 |          4 |         27 |
| dashboard/src/app/api/admin                                                                                                                          |          1 |         50 |         15 |         17 |         82 |
| dashboard/src/app/api/admin/[...path]                                                                                                                |          1 |         50 |         15 |         17 |         82 |
| dashboard/src/app/api/agents                                                                                                                         |          3 |         17 |          0 |          3 |         20 |
| dashboard/src/app/api/agents (Files)                                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| dashboard/src/app/api/agents/[agentId]                                                                                                               |          2 |         12 |          0 |          2 |         14 |
| dashboard/src/app/api/agents/[agentId] (Files)                                                                                                       |          1 |          6 |          0 |          1 |          7 |
| dashboard/src/app/api/agents/[agentId]/properties                                                                                                    |          1 |          6 |          0 |          1 |          7 |
| dashboard/src/app/api/auth                                                                                                                           |          3 |         86 |          3 |         24 |        113 |
| dashboard/src/app/api/auth/[...path]                                                                                                                 |          1 |         37 |          2 |         10 |         49 |
| dashboard/src/app/api/auth/google                                                                                                                    |          1 |         33 |          0 |          8 |         41 |
| dashboard/src/app/api/auth/google/callback                                                                                                           |          1 |         33 |          0 |          8 |         41 |
| dashboard/src/app/api/auth/logout                                                                                                                    |          1 |         16 |          1 |          6 |         23 |
| dashboard/src/app/api/billing                                                                                                                        |          2 |         13 |          0 |          3 |         16 |
| dashboard/src/app/api/billing (Files)                                                                                                                |          1 |          5 |          0 |          1 |          6 |
| dashboard/src/app/api/billing/[...path]                                                                                                              |          1 |          8 |          0 |          2 |         10 |
| dashboard/src/app/api/clients                                                                                                                        |         13 |        105 |          1 |         23 |        129 |
| dashboard/src/app/api/clients (Files)                                                                                                                |          1 |          5 |          1 |          1 |          7 |
| dashboard/src/app/api/clients/[id]                                                                                                                   |          4 |         30 |          0 |          9 |         39 |
| dashboard/src/app/api/clients/[id] (Files)                                                                                                           |          1 |          6 |          0 |          1 |          7 |
| dashboard/src/app/api/clients/[id]/follow-up                                                                                                         |          1 |          8 |          0 |          3 |         11 |
| dashboard/src/app/api/clients/[id]/notes                                                                                                             |          1 |         10 |          0 |          4 |         14 |
| dashboard/src/app/api/clients/[id]/share-token                                                                                                       |          1 |          6 |          0 |          1 |          7 |
| dashboard/src/app/api/clients/client-property                                                                                                        |          3 |         18 |          0 |          3 |         21 |
| dashboard/src/app/api/clients/client-property/[id]                                                                                                   |          3 |         18 |          0 |          3 |         21 |
| dashboard/src/app/api/clients/client-property/[id]/follow-up                                                                                         |          1 |          6 |          0 |          1 |          7 |
| dashboard/src/app/api/clients/client-property/[id]/whatsapp-draft                                                                                    |          1 |          6 |          0 |          1 |          7 |
| dashboard/src/app/api/clients/client-property/[id]/whatsapp-sent                                                                                     |          1 |          6 |          0 |          1 |          7 |
| dashboard/src/app/api/clients/follow-ups                                                                                                             |          2 |          8 |          0 |          2 |         10 |
| dashboard/src/app/api/clients/follow-ups/today                                                                                                       |          1 |          4 |          0 |          1 |          5 |
| dashboard/src/app/api/clients/follow-ups/upcoming                                                                                                    |          1 |          4 |          0 |          1 |          5 |
| dashboard/src/app/api/clients/leads                                                                                                                  |          1 |          5 |          0 |          1 |          6 |
| dashboard/src/app/api/clients/property-ai-dashboard                                                                                                  |          1 |         35 |          0 |          6 |         41 |
| dashboard/src/app/api/clients/property-ai-dashboard/src                                                                                              |          1 |         35 |          0 |          6 |         41 |
| dashboard/src/app/api/clients/property-ai-dashboard/src/components                                                                                   |          1 |         35 |          0 |          6 |         41 |
| dashboard/src/app/api/clients/property-ai-dashboard/src/components/v2                                                                                |          1 |         35 |          0 |          6 |         41 |
| dashboard/src/app/api/clients/property-ai-dashboard/src/components/v2/clients                                                                        |          1 |         35 |          0 |          6 |         41 |
| dashboard/src/app/api/clients/share-token-by-phone                                                                                                   |          1 |          4 |          0 |          1 |          5 |
| dashboard/src/app/api/collections                                                                                                                    |          2 |         38 |          0 |          5 |         43 |
| dashboard/src/app/api/collections (Files)                                                                                                            |          1 |         14 |          0 |          2 |         16 |
| dashboard/src/app/api/collections/[...path]                                                                                                          |          1 |         24 |          0 |          3 |         27 |
| dashboard/src/app/api/dashboard                                                                                                                      |          1 |          4 |          0 |          1 |          5 |
| dashboard/src/app/api/dashboard/stats                                                                                                                |          1 |          4 |          0 |          1 |          5 |
| dashboard/src/app/api/deals                                                                                                                          |          2 |         14 |          0 |          3 |         17 |
| dashboard/src/app/api/deals (Files)                                                                                                                  |          1 |          5 |          0 |          1 |          6 |
| dashboard/src/app/api/deals/[...path]                                                                                                                |          1 |          9 |          0 |          2 |         11 |
| dashboard/src/app/api/ingestion                                                                                                                      |          1 |          9 |          0 |          2 |         11 |
| dashboard/src/app/api/ingestion/[...path]                                                                                                            |          1 |          9 |          0 |          2 |         11 |
| dashboard/src/app/api/media                                                                                                                          |          2 |         14 |          0 |          3 |         17 |
| dashboard/src/app/api/media (Files)                                                                                                                  |          1 |          4 |          0 |          1 |          5 |
| dashboard/src/app/api/media/[...path]                                                                                                                |          1 |         10 |          0 |          2 |         12 |
| dashboard/src/app/api/onboarding                                                                                                                     |          1 |          9 |          0 |          2 |         11 |
| dashboard/src/app/api/onboarding/[...path]                                                                                                           |          1 |          9 |          0 |          2 |         11 |
| dashboard/src/app/api/private-groups                                                                                                                 |          2 |         13 |          0 |          4 |         17 |
| dashboard/src/app/api/private-groups (Files)                                                                                                         |          1 |          5 |          0 |          1 |          6 |
| dashboard/src/app/api/private-groups/[...path]                                                                                                       |          1 |          8 |          0 |          3 |         11 |
| dashboard/src/app/api/properties                                                                                                                     |          9 |         56 |          0 |          9 |         65 |
| dashboard/src/app/api/properties (Files)                                                                                                             |          1 |          5 |          0 |          1 |          6 |
| dashboard/src/app/api/properties/[id]                                                                                                                |          8 |         51 |          0 |          8 |         59 |
| dashboard/src/app/api/properties/[id] (Files)                                                                                                        |          1 |          7 |          0 |          1 |          8 |
| dashboard/src/app/api/properties/[id]/activities                                                                                                     |          1 |          6 |          0 |          1 |          7 |
| dashboard/src/app/api/properties/[id]/agents                                                                                                         |          1 |          8 |          0 |          1 |          9 |
| dashboard/src/app/api/properties/[id]/agents/[agentId]                                                                                               |          1 |          8 |          0 |          1 |          9 |
| dashboard/src/app/api/properties/[id]/attach-agent                                                                                                   |          1 |          6 |          0 |          1 |          7 |
| dashboard/src/app/api/properties/[id]/availability                                                                                                   |          1 |          6 |          0 |          1 |          7 |
| dashboard/src/app/api/properties/[id]/leads                                                                                                          |          1 |          6 |          0 |          1 |          7 |
| dashboard/src/app/api/properties/[id]/neighbors                                                                                                      |          1 |          6 |          0 |          1 |          7 |
| dashboard/src/app/api/properties/[id]/share                                                                                                          |          1 |          6 |          0 |          1 |          7 |
| dashboard/src/app/api/public                                                                                                                         |          2 |         31 |          0 |          4 |         35 |
| dashboard/src/app/api/public/share                                                                                                                   |          2 |         31 |          0 |          4 |         35 |
| dashboard/src/app/api/public/share/[token]                                                                                                           |          2 |         31 |          0 |          4 |         35 |
| dashboard/src/app/api/public/share/[token] (Files)                                                                                                   |          1 |         14 |          0 |          2 |         16 |
| dashboard/src/app/api/public/share/[token]/respond                                                                                                   |          1 |         17 |          0 |          2 |         19 |
| dashboard/src/app/api/settings                                                                                                                       |          1 |          9 |          0 |          2 |         11 |
| dashboard/src/app/api/settings/[...path]                                                                                                             |          1 |          9 |          0 |          2 |         11 |
| dashboard/src/app/api/shortlists                                                                                                                     |          2 |         38 |          0 |          5 |         43 |
| dashboard/src/app/api/shortlists (Files)                                                                                                             |          1 |         14 |          0 |          2 |         16 |
| dashboard/src/app/api/shortlists/[...path]                                                                                                           |          1 |         24 |          0 |          3 |         27 |
| dashboard/src/app/api/team                                                                                                                           |          2 |         15 |          0 |          3 |         18 |
| dashboard/src/app/api/team (Files)                                                                                                                   |          1 |          5 |          0 |          1 |          6 |
| dashboard/src/app/api/team/[...path]                                                                                                                 |          1 |         10 |          0 |          2 |         12 |
| dashboard/src/app/followups                                                                                                                          |          1 |         81 |          0 |         22 |        103 |
| dashboard/src/app/forgot-password                                                                                                                    |          1 |         65 |          0 |          3 |         68 |
| dashboard/src/app/invites                                                                                                                            |          1 |        164 |          1 |         22 |        187 |
| dashboard/src/app/invites/accept                                                                                                                     |          1 |        164 |          1 |         22 |        187 |
| dashboard/src/app/onboarding                                                                                                                         |          3 |        252 |          4 |         34 |        290 |
| dashboard/src/app/onboarding (Files)                                                                                                                 |          2 |        172 |          4 |         23 |        199 |
| dashboard/src/app/onboarding/phone                                                                                                                   |          1 |         80 |          0 |         11 |         91 |
| dashboard/src/app/properties                                                                                                                         |          1 |        147 |         15 |         30 |        192 |
| dashboard/src/app/reset-password                                                                                                                     |          1 |         87 |          0 |          4 |         91 |
| dashboard/src/app/share                                                                                                                              |          3 |        763 |         40 |         82 |        885 |
| dashboard/src/app/share/[token]                                                                                                                      |          3 |        763 |         40 |         82 |        885 |
| dashboard/src/app/team                                                                                                                               |          1 |        102 |          5 |         23 |        130 |
| dashboard/src/app/test                                                                                                                               |          1 |          3 |          0 |          0 |          3 |
| dashboard/src/app/v2                                                                                                                                 |         48 |      9,532 |      2,577 |      1,361 |     13,470 |
| dashboard/src/app/v2 (Files)                                                                                                                         |          1 |          5 |          0 |          2 |          7 |
| dashboard/src/app/v2/admin                                                                                                                           |         17 |      3,165 |        117 |        325 |      3,607 |
| dashboard/src/app/v2/admin (Files)                                                                                                                   |          2 |        295 |         31 |         27 |        353 |
| dashboard/src/app/v2/admin/audit                                                                                                                     |          2 |        256 |         21 |         31 |        308 |
| dashboard/src/app/v2/admin/health                                                                                                                    |          1 |        263 |         10 |         23 |        296 |
| dashboard/src/app/v2/admin/ingestion                                                                                                                 |          1 |        393 |          2 |         34 |        429 |
| dashboard/src/app/v2/admin/properties                                                                                                                |          4 |        792 |         26 |         87 |        905 |
| dashboard/src/app/v2/admin/properties (Files)                                                                                                        |          2 |        349 |          8 |         39 |        396 |
| dashboard/src/app/v2/admin/properties/[id]                                                                                                           |          2 |        443 |         18 |         48 |        509 |
| dashboard/src/app/v2/admin/subscriptions                                                                                                             |          2 |        242 |          3 |         27 |        272 |
| dashboard/src/app/v2/admin/users                                                                                                                     |          2 |        318 |          3 |         35 |        356 |
| dashboard/src/app/v2/admin/workspaces                                                                                                                |          3 |        606 |         21 |         61 |        688 |
| dashboard/src/app/v2/admin/workspaces (Files)                                                                                                        |          2 |        343 |         12 |         37 |        392 |
| dashboard/src/app/v2/admin/workspaces/[id]                                                                                                           |          1 |        263 |          9 |         24 |        296 |
| dashboard/src/app/v2/agents                                                                                                                          |          3 |        389 |         53 |         49 |        491 |
| dashboard/src/app/v2/agents (Files)                                                                                                                  |          2 |        198 |         37 |         28 |        263 |
| dashboard/src/app/v2/agents/[agentId]                                                                                                                |          1 |        191 |         16 |         21 |        228 |
| dashboard/src/app/v2/clients                                                                                                                         |          5 |        648 |        743 |        195 |      1,586 |
| dashboard/src/app/v2/clients (Files)                                                                                                                 |          2 |        174 |         10 |         21 |        205 |
| dashboard/src/app/v2/clients-hub                                                                                                                     |          1 |        481 |         56 |         56 |        593 |
| dashboard/src/app/v2/clients/[id]                                                                                                                    |          3 |        474 |        733 |        174 |      1,381 |
| dashboard/src/app/v2/clients/[id] (Files)                                                                                                            |          1 |        237 |        721 |        146 |      1,104 |
| dashboard/src/app/v2/clients/[id]/shortlists                                                                                                         |          2 |        237 |         12 |         28 |        277 |
| dashboard/src/app/v2/clients/[id]/shortlists/[shortlistId]                                                                                           |          2 |        237 |         12 |         28 |        277 |
| dashboard/src/app/v2/collections                                                                                                                     |          3 |        149 |          0 |         16 |        165 |
| dashboard/src/app/v2/collections (Files)                                                                                                             |          1 |         45 |          0 |          5 |         50 |
| dashboard/src/app/v2/collections/[id]                                                                                                                |          2 |        104 |          0 |         11 |        115 |
| dashboard/src/app/v2/dashboard                                                                                                                       |          1 |        333 |        438 |        124 |        895 |
| dashboard/src/app/v2/deals                                                                                                                           |          2 |        500 |         21 |         56 |        577 |
| dashboard/src/app/v2/deals (Files)                                                                                                                   |          1 |        145 |         10 |         22 |        177 |
| dashboard/src/app/v2/deals/[id]                                                                                                                      |          1 |        355 |         11 |         34 |        400 |
| dashboard/src/app/v2/groups                                                                                                                          |          1 |        535 |         14 |         48 |        597 |
| dashboard/src/app/v2/leads                                                                                                                           |          1 |        337 |      1,008 |        193 |      1,538 |
| dashboard/src/app/v2/properties                                                                                                                      |          9 |      1,870 |         90 |        195 |      2,155 |
| dashboard/src/app/v2/properties (Files)                                                                                                              |          6 |      1,314 |         55 |        132 |      1,501 |
| dashboard/src/app/v2/properties/[id]                                                                                                                 |          2 |        214 |         15 |         26 |        255 |
| dashboard/src/app/v2/properties/new                                                                                                                  |          1 |        342 |         20 |         37 |        399 |
| dashboard/src/app/v2/settings                                                                                                                        |          1 |        452 |         19 |         45 |        516 |
| dashboard/src/app/v2/subscription                                                                                                                    |          1 |        340 |         14 |         33 |        387 |
| dashboard/src/app/v2/team                                                                                                                            |          1 |        305 |          4 |         21 |        330 |
| dashboard/src/app/v2/visits                                                                                                                          |          1 |         23 |          0 |          3 |         26 |
| dashboard/src/app/verify-email                                                                                                                       |          1 |         64 |          0 |          4 |         68 |
| dashboard/src/components                                                                                                                             |         89 |      8,805 |      1,446 |      1,408 |     11,659 |
| dashboard/src/components (Files)                                                                                                                     |         11 |      1,141 |        105 |        210 |      1,456 |
| dashboard/src/components/property                                                                                                                    |          1 |         13 |          0 |          5 |         18 |
| dashboard/src/components/ui                                                                                                                          |          3 |        203 |          0 |         24 |        227 |
| dashboard/src/components/v2                                                                                                                          |         74 |      7,448 |      1,341 |      1,169 |      9,958 |
| dashboard/src/components/v2/agents                                                                                                                   |          7 |        749 |         66 |         95 |        910 |
| dashboard/src/components/v2/billing                                                                                                                  |          1 |         69 |          2 |         11 |         82 |
| dashboard/src/components/v2/cards                                                                                                                    |          3 |        264 |        251 |         82 |        597 |
| dashboard/src/components/v2/clients                                                                                                                  |         19 |      1,609 |        103 |        224 |      1,936 |
| dashboard/src/components/v2/collections                                                                                                              |          2 |        247 |          4 |         22 |        273 |
| dashboard/src/components/v2/deals                                                                                                                    |          2 |        186 |         16 |         21 |        223 |
| dashboard/src/components/v2/layout                                                                                                                   |          7 |        563 |        254 |        194 |      1,011 |
| dashboard/src/components/v2/messages                                                                                                                 |          1 |        177 |         12 |         18 |        207 |
| dashboard/src/components/v2/navigation                                                                                                               |          1 |         15 |          0 |          1 |         16 |
| dashboard/src/components/v2/property                                                                                                                 |         18 |      2,888 |        618 |        433 |      3,939 |
| dashboard/src/components/v2/shortlists                                                                                                               |          1 |        286 |         11 |         22 |        319 |
| dashboard/src/components/v2/tables                                                                                                                   |          1 |         56 |          0 |          6 |         62 |
| dashboard/src/components/v2/types                                                                                                                    |          2 |         26 |          0 |          7 |         33 |
| dashboard/src/components/v2/ui                                                                                                                       |          8 |        294 |          4 |         32 |        330 |
| dashboard/src/components/v2/utils                                                                                                                    |          1 |         19 |          0 |          1 |         20 |
| dashboard/src/context                                                                                                                                |          2 |        156 |          7 |         26 |        189 |
| dashboard/src/hooks                                                                                                                                  |          1 |         65 |          3 |         14 |         82 |
| dashboard/src/lib                                                                                                                                    |          9 |        203 |         14 |         36 |        253 |
| dashboard/src/utils                                                                                                                                  |          1 |        124 |        238 |         88 |        450 |
| dashboard/types                                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                             | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/zerone/Documents/Coding/projectProp/apps/backend/Dockerfile                                                                                   | Docker             |         12 |          0 |          8 |         20 |
| /Users/zerone/Documents/Coding/projectProp/apps/backend/README.md                                                                                    | Markdown           |         69 |          2 |         29 |        100 |
| /Users/zerone/Documents/Coding/projectProp/apps/backend/eslint.config.mjs                                                                            | JavaScript         |         33 |          1 |          2 |         36 |
| /Users/zerone/Documents/Coding/projectProp/apps/backend/nest-cli.json                                                                                | JSON               |          9 |          0 |          0 |          9 |
| /Users/zerone/Documents/Coding/projectProp/apps/backend/package.json                                                                                 | JSON               |        100 |          0 |          1 |        101 |
| /Users/zerone/Documents/Coding/projectProp/apps/backend/prisma.config.ts                                                                             | TypeScript         |         11 |          0 |          1 |         12 |
